index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Total Actual Production
0,01-09-2017,Northern,624.23,484.21,30.36,35.57,273.27,320.81,927.86
1,01-09-2017,Western,1106.89,1024.33,25.17,3.81,72,21.53,1204.06
2,01-09-2017,Southern,576.66,578.55,62.73,49.8,111.57,64.78,750.96
3,01-09-2017,Eastern,441.02,429.39,,,85.94,69.36,526.96
4,01-09-2017,NorthEastern,29.11,15.91,,,24.64,21.21,53.75
5,02-09-2017,Northern,624.23,507.42,30.36,35.69,273.27,317.19,927.86
6,02-09-2017,Western,1106.89,1050.91,25.17,3.83,72,23.97,1204.06
7,02-09-2017,Southern,576.66,562.79,62.73,52.76,111.57,59.49,750.96
8,02-09-2017,Eastern,441.02,425.75,,,85.94,74.18,526.96
9,02-09-2017,NorthEastern,29.11,16.5,,,24.64,20.81,53.75
10,03-09-2017,Northern,624.23,492.69,30.36,35.65,273.27,316.69,927.86
11,03-09-2017,Western,1106.89,1066.73,25.17,3.8,72,13.94,1204.06
12,03-09-2017,Southern,572.16,530.68,62.73,53.12,111.57,47.53,746.46
13,03-09-2017,Eastern,445.38,427.61,,,85.94,71.05,531.32
14,03-09-2017,NorthEastern,29.11,15.52,,,24.64,23.84,53.75
15,04-09-2017,Northern,624.23,568.34,30.36,35.62,273.27,297.47,927.86
16,04-09-2017,Western,1106.89,1115.43,25.17,3.81,72,37.38,1204.06
17,04-09-2017,Southern,572.16,562.81,62.73,53.19,111.57,66.2,746.46
18,04-09-2017,Eastern,445.38,450.85,,,85.94,75.21,531.32
19,04-09-2017,NorthEastern,29.11,16.85,,,24.64,24.1,53.75
20,05-09-2017,Northern,628.58,597.08,30.36,35.72,273.27,290.23,932.21
21,05-09-2017,Western,1106.89,1131.78,25.17,3.83,72,28.78,1204.06
22,05-09-2017,Southern,576.35,575.06,62.73,53.16,111.57,58,750.65
23,05-09-2017,Eastern,449.92,459.09,,,85.94,70.29,535.86
24,05-09-2017,NorthEastern,29.11,16.64,,,24.64,22.86,53.75
25,06-09-2017,Northern,628.58,628.93,30.36,35.86,273.27,296.1,932.21
26,06-09-2017,Western,1124.57,1171.82,25.17,3.84,72,40.94,1221.74
27,06-09-2017,Southern,576.35,549.1,62.73,53.41,111.57,58.7,750.65
28,06-09-2017,Eastern,449.92,464.82,,,85.94,76.43,535.86
29,06-09-2017,NorthEastern,29.11,16.44,,,24.64,27.8,53.75
30,07-09-2017,Northern,628.48,651.03,30.36,35.86,273.27,298.57,932.11
31,07-09-2017,Western,1124.57,1180.3,25.17,3.82,72,48.25,1221.74
32,07-09-2017,Southern,585.98,565.52,62.73,53.41,111.57,55.52,760.28
33,07-09-2017,Eastern,449.92,461.96,,,85.94,75.34,535.86
34,07-09-2017,NorthEastern,29.11,20.71,,,24.64,24.12,53.75
35,08-09-2017,Northern,628.48,689.88,30.36,35.68,273.27,289.16,932.11
